"COG20_FUNCTION_accession" "COG20_FUNCTION_function." "COG20_CATEGORY_accession" "COG20_CATEGORY_function."
"1716" "COG0648" "Endonuclease IV (Nfo) (PDB:2NQH)" "L" "Replication, recombination and repair"
"1717" "COG5126" "Ca2+-binding protein, EF-hand superfamily (FRQ1) (PDB:2LHI)" "T" "Signal transduction mechanisms"
"1718" "COG1018" "Flavodoxin/ferredoxin--NADP reductase (Fpr) (PDB:3OZU)" "C" "Energy production and conversion"
"1719" "COG1247" "L-amino acid N-acyltransferase MnaT (MnaT) (PDB:3DR6) (PUBMED:27941785)" "E" "Amino acid transport and metabolism"
"1720" "COG1742" "Uncharacterized inner membrane protein YnfA, drug/metabolite transporter superfamily (YnfA) (PUBMED:25560019)" "R" "General function prediction only"
"1721" "COG4639" "Predicted kinase (PDB:4GP6)" "R" "General function prediction only"
"1722" "COG5400" "Uncharacterized conserved protein (PDB:5UC0)" "S" "Function unknown"
"1723" "COG5310" "Homospermidine synthase (PDB:4XQ9)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1724" "COG1076" "DnaJ domain-containing protein (DjlA) (PUBMED:15489435;11106641)" "O" "Posttranslational modification, protein turnover, chaperones"
"1725" "COG0175" "3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme (CysD) (PDB:1ZUN)" "E" "Amino acid transport and metabolism"
"1726" "COG1760" "L-serine deaminase (SdaA) (PDB:4RQO)" "E" "Amino acid transport and metabolism"
"1727" "COG5557" "Ni/Fe-hydrogenase 2 integral membrane subunit HybB (HybB)" "C" "Energy production and conversion"
"1728" "COG1867" "tRNA G26 N,N-dimethylase Trm1 (TRM1) (PDB:2DUL)" "J" "Translation, ribosomal structure and biogenesis"
"1729" "COG5682" "Cytochrome b6f complex subunit VII, PetM/Ycf31 (PetM)" "C" "Energy production and conversion"
"1730" "COG4870" "Cysteine protease, C1A family (PDB:1AEC)" "O" "Posttranslational modification, protein turnover, chaperones"
"1731" "COG0423" "Glycyl-tRNA synthetase, class II (GRS1) (PDB:2PME)" "J" "Translation, ribosomal structure and biogenesis"
"1732" "COG3457" "Predicted amino acid racemase (YhfX) (PDB:4KBX) (PUBMED:23091052)" "E" "Amino acid transport and metabolism"
"1733" "COG0228" "Ribosomal protein S16 (RpsP) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1734" "COG3627" "Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P lyase PhnJ (PhnJ) (PDB:4XB6)" "P" "Inorganic ion transport and metabolism"
"1735" "COG0146" "N-methylhydantoinase B/oxoprolinase/acetone carboxylase, alpha subunit (HyuB) (PDB:5L9W)" "E" "Amino acid transport and metabolism"
"1736" "COG2901" "DNA-binding protein Fis (factor for inversion stimulation) (Fis) (PDB:1ETK)" "K" "Transcription"
"1737" "COG5345" "Uncharacterized conserved protein, DUF2333 domain" "S" "Function unknown"
"1738" "COG2847" "Copper(I)-binding protein (PDB:1X9L)" "P" "Inorganic ion transport and metabolism"
"1739" "COG3046" "Uncharacterized conserved protein related to deoxyribodipyrimidine photolyase (PDB:3ZXS)" "R" "General function prediction only"
"1740" "COG4772" "Outer membrane receptor for Fe3+-dicitrate (FecA) (PDB:1KMP)" "P" "Inorganic ion transport and metabolism"
"1741" "COG3489" "Imelysin-like iron-regulated protein IrpA, duplicated M75 peptidase-like domain (IrpA2) (PUBMED:21799754)" "R" "General function prediction only"
"1742" "COG4696" "NTP pyrophosphatase, MazG superfamily (MazG2) (PDB:3NL9)" "F" "Nucleotide transport and metabolism"
"1743" "COG0034" "Glutamine phosphoribosylpyrophosphate amidotransferase (PurF) (PDB:1ECB)" "F" "Nucleotide transport and metabolism"
"1744" "COG1357" "Uncharacterized conserved protein YjbI, contains pentapeptide repeats (YjbI) (PDB:2BM4)" "S" "Function unknown"
"1745" "COG0794" "D-arabinose 5-phosphate isomerase GutQ (GutQ) (PDB:5UQI)" "G" "Carbohydrate transport and metabolism"
"1746" "COG2421" "Acetamidase/formamidase (FmdA) (PDB:2F4L)" "C" "Energy production and conversion"
"1747" "COG0727" "Uncharacterized protein YkgJ, contains CxxCxxCC motif (YkgJ)" "R" "General function prediction only"
"1748" "COG1925" "HPr or related phosphotransfer protein (PtsH) (PDB:1CM2)" "T" "Signal transduction mechanisms"
"1749" "COG2382" "Enterochelin esterase or related enzyme (Fes) (PDB:2B20)" "P" "Inorganic ion transport and metabolism"
"1750" "COG1838" "Tartrate dehydratase beta subunit/Fumarate hydratase class I, C-terminal domain (FumA) (PDB:5L2R)" "C" "Energy production and conversion"
"1751" "COG0288" "Carbonic anhydrase (CynT) (PDB:1EKJ) (PUBMED:22081392)" "P" "Inorganic ion transport and metabolism"
"1752" "COG2070" "NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family (YrpB)" "R" "General function prediction only"
"1753" "COG2870" "ADP-heptose synthase, bifunctional sugar kinase/adenylyltransferase (RfaE) (PDB:5X9Q)" "M" "Cell wall/membrane/envelope biogenesis"
"1754" "COG2999" "Glutaredoxin 2 (GrxB) (PDB:1G7O)" "O" "Posttranslational modification, protein turnover, chaperones"
"1755" "COG1069" "Ribulose kinase (AraB) (PDB:3QDK)" "G" "Carbohydrate transport and metabolism"
"1756" "COG1806" "Regulator of PEP synthase PpsR, kinase-PPPase family (combines ADP:protein kinase and phosphorylase activities) (PpsR) (PDB:5D0N)" "T" "Signal transduction mechanisms"
"1757" "COG1165" "2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase (MenD) (PDB:5Z2P)" "H" "Coenzyme transport and metabolism"
"1758" "COG2346" "Truncated hemoglobin YjbI (YjbI) (PDB:1DLW)" "P" "Inorganic ion transport and metabolism"
"1759" "COG5712" "Photosystem I assembly protein Ycf4 (Ycf4)" "C" "Energy production and conversion"
"1760" "COG0165" "Argininosuccinate lyase (ArgH) (PDB:1AOS)" "E" "Amino acid transport and metabolism"
"1761" "COG5039" "Exopolysaccharide biosynthesis protein EpsI, predicted pyruvyl transferase (EpsI) (PDB:5AX7)" "G" "Carbohydrate transport and metabolism"
"1762" "COG2234" "Zn-dependent amino- or carboxypeptidase, M28 family (Iap) (PDB:1AMP)" "O" "Posttranslational modification, protein turnover, chaperones"
"1763" "COG1554" "Kojibiose phosphorylase YcjT (ATH1) (PDB:1H54) (PUBMED:29684280)" "G" "Carbohydrate transport and metabolism"
"1764" "COG4727" "Uncharacterized conserved protein, DUF2145 domain" "S" "Function unknown"
"1765" "COG1526" "Formate dehydrogenase assembly factor FdhD, a sulfurtransferase (FdhD) (PDB:2PW9)" "C" "Energy production and conversion"
"1766" "COG2805" "Type IV pilus assembly protein PilT, pilus retraction ATPase (PilT) (PDB:5FL3)" "N" "Cell motility"
"1767" "COG0387" "Cation (Ca2+/Na+/K+)/H+ antiporter ChaA (ChaA) (PDB:4KJS) (PUBMED:18801996)" "P" "Inorganic ion transport and metabolism"
"1768" "COG3434" "c-di-GMP phosphodiesterase YuxH/PdeH, contains EAL and HDOD domains (YuxH) (PUBMED:23893111)" "T" "Signal transduction mechanisms"
"1769" "COG1714" "Uncharacterized membrane protein YckC, RDD family (YckC)" "S" "Function unknown"
"1770" "COG2189" "Adenine specific DNA methylase Mod (Mod) (PDB:4ZCF)" "L" "Replication, recombination and repair"
"1771" "COG1987" "Flagellar biosynthesis protein FliQ (FliQ) (PDB:6F2D)" "N" "Cell motility"
"1772" "COG1684" "Flagellar biosynthesis protein FliR (FliR) (PDB:6S3R)" "N" "Cell motility"
"1773" "COG1254" "Acylphosphatase (AcyP) (PDB:1APS)" "C" "Energy production and conversion"
"1774" "COG3429" "Glucose-6-phosphate dehydrogenase assembly protein OpcA, contains a peptidoglycan-binding domain (OpcA)" "G" "Carbohydrate transport and metabolism"
"1775" "COG3948" "Phage-related baseplate assembly protein (PDB:5CES)" "X" "Mobilome: prophages, transposons"
"1776" "COG3175" "Cytochrome c oxidase assembly protein Cox11 (COX11) (PDB:1SO9)" "C" "Energy production and conversion"
"1777" "COG3786" "L,D-peptidoglycan transpeptidase YkuD, ErfK/YbiS/YcfS/YnhG family (PUBMED:16647082)" "M" "Cell wall/membrane/envelope biogenesis"
"1778" "COG0325" "Pyridoxal 5'-phosphate homeostasis protein YggS, UPF0001 family (YggS) (PDB:3SY1) (PUBMED:26872910)" "H" "Coenzyme transport and metabolism"
"1779" "COG1266" "Membrane protease YdiL, CAAX protease family (YdiL)" "O" "Posttranslational modification, protein turnover, chaperones"
"1780" "COG4667" "Predicted phospholipase, patatin/cPLA2 family (YjjU)" "I" "Lipid transport and metabolism"
"1781" "COG3007" "Trans-2-enoyl-CoA reductase (PDB:3S8M)" "I" "Lipid transport and metabolism"
"1782" "COG5720" "Photosystem II cytochrome b559 alpha subunit, PsbE (PsbE) (PDB:1S5L) (PUBMED:17935689;16049768;16172937;20558739;25043005)" "C" "Energy production and conversion"
"1783" "COG5721" "Photosystem II cytochrome b559 beta chain, PsbF (PsbF) (PDB:1S5L) (PUBMED:17935689;16049768;16172937;20558739;25043005)" "C" "Energy production and conversion"
"1784" "COG5724" "Photosystem II reaction center protein J, PsbJ (PsbJ) (PDB:1S5L) (PUBMED:22387395;20558739;25043005)" "C" "Energy production and conversion"
"1785" "COG1625" "Fe-S oxidoreductase, related to NifB/MoaA family (NifB)" "C" "Energy production and conversion"
"1786" "COG0739" "Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain (NlpD) (PDB:2GU1)" "M" "Cell wall/membrane/envelope biogenesis"
"1787" "COG2607" "Predicted ATPase, AAA+ superfamily (Atu1564)" "R" "General function prediction only"
"1788" "COG3177" "Fic family protein (PDB:3CUC)" "K" "Transcription"
"1789" "COG3742" "VapC family ribonuclease, contains PIN domain (VapC) (PDB:4XGQ)" "V" "Defense mechanisms"
"1790" "COG4409" "Neuraminidase (sialidase) NanH, contains C-terminal autotransporter domain (NanH) (PDB:1EUT)" "G" "Carbohydrate transport and metabolism"
"1791" "COG0599" "Uncharacterized conserved protein YurZ, alkylhydroperoxidase/carboxymuconolactone decarboxylase family (YurZ) (PDB:3BEY)" "R" "General function prediction only"
"1792" "COG3310" "Uncharacterized conserved protein, DUF1415 family" "S" "Function unknown"
"1793" "COG2902" "NAD-specific glutamate dehydrogenase (Gdh2)" "E" "Amino acid transport and metabolism"
"1794" "COG2844" "UTP:GlnB (protein PII) uridylyltransferase (GlnD)" "O" "Posttranslational modification, protein turnover, chaperones"
"1795" "COG2127" "ATP-dependent Clp protease adapter protein ClpS (ClpS) (PDB:1LZW)" "O" "Posttranslational modification, protein turnover, chaperones"
"1796" "COG5692" "Phycocyanobilin:ferredoxin oxidoreductase (PcyA)" "C" "Energy production and conversion"
"1797" "COG1260" "Myo-inositol-1-phosphate synthase (INO1) (PDB:1GR0)" "I" "Lipid transport and metabolism"
"1798" "COG1429" "Cobalamin biosynthesis protein CobN, Mg-chelatase (CobN) (PDB:4ZHJ)" "H" "Coenzyme transport and metabolism"
"1799" "COG3630" "Na+-transporting oxaloacetate/methylmalonyl-CoA decarboxylase, gamma subunit (OadG)" "C" "Energy production and conversion"
"1800" "COG3238" "Uncharacterized membrane protein YdcZ, DUF606 family (ydcZ)" "S" "Function unknown"
"1801" "COG0169" "Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)" "E" "Amino acid transport and metabolism"
"1802" "COG2603" "tRNA 2-selenouridine synthase SelU, contains rhodanese domain (SelU)" "J" "Translation, ribosomal structure and biogenesis"
"1803" "COG3146" "Predicted N-acyltransferase" "R" "General function prediction only"
"1804" "COG3840" "ABC-type thiamine transport system, ATPase component ThiQ (ThiQ)" "H" "Coenzyme transport and metabolism"
"1805" "COG2969" "Stringent starvation protein B, binds SsrA peptide (SspB) (PDB:1OU8)" "O" "Posttranslational modification, protein turnover, chaperones"
"1806" "COG0098" "Ribosomal protein S5 (RpsE) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1807" "COG1644" "DNA-directed RNA polymerase, subunit N (RpoN/RPB10) (RPB10) (PDB:1EF4)" "K" "Transcription"
"1808" "COG1569" "Predicted nucleic acid-binding protein, contains PIN domain" "R" "General function prediction only"
"1809" "COG1259" "Bifunctional DNase/RNase (PDB:1SJ5) (PUBMED:20018603)" "R" "General function prediction only"
"1810" "COG0363" "6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase (NagB) (PDB:2RI0) (PUBMED:24163345)" "G" "Carbohydrate transport and metabolism"
"1811" "COG4166" "ABC-type oligopeptide transport system, periplasmic component (OppA) (PDB:1B05)" "E" "Amino acid transport and metabolism"
"1812" "COG0145" "N-methylhydantoinase A/oxoprolinase/acetone carboxylase, beta subunit (HyuA)" "E" "Amino acid transport and metabolism"
"1813" "COG5515" "Uncharacterized conserved protein, DUF1737 domain (PDB:2NNR)" "S" "Function unknown"
"1814" "COG2142" "Succinate dehydrogenase, hydrophobic anchor subunit (SdhD) (PDB:2WS3)" "C" "Energy production and conversion"
"1815" "COG0479" "Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit (SdhB/FrdB) (PDB:6LUM)" "C" "Energy production and conversion"
"1816" "COG1961" "Site-specific DNA recombinase SpoIVCA/DNA invertase PinE (SpoIVCA) (PDB:1GDT)" "L" "Replication, recombination and repair"
"1817" "COG3769" "Mannosyl-3-phosphoglycerate phosphatase YedP/MpgP, HAD superfamily (YedP) (PDB:1XVI) (PUBMED:25848029)" "G" "Carbohydrate transport and metabolism"
"1818" "COG2233" "Xanthine/uracil permease (UraA) (PDB:3QE7)" "F" "Nucleotide transport and metabolism"
"1819" "COG3194" "Ureidoglycolate hydrolase (allantoin degradation) (AllA) (PDB:1XSQ)" "F" "Nucleotide transport and metabolism"
"1820" "COG1489" "DNA-binding protein, stimulates sugar fermentation (SfsA) (PDB:4DA2)" "G" "Carbohydrate transport and metabolism"
"1821" "COG0577" "ABC-type antimicrobial peptide transport system, permease component (SalY)" "V" "Defense mechanisms"
"1822" "COG1322" "DNA anti-recombination protein (rearrangement mutator) RmuC (RmuC)" "L" "Replication, recombination and repair"
"1823" "COG3618" "Predicted metal-dependent hydrolase, TIM-barrel fold" "R" "General function prediction only"
"1824" "COG4149" "ABC-type molybdate transport system, permease component ModB (ModB)" "P" "Inorganic ion transport and metabolism"
"1825" "COG3836" "2-keto-3-deoxy-L-rhamnonate aldolase RhmA (HpcH) (PDB:1DXE)" "G" "Carbohydrate transport and metabolism"
"1826" "COG3962" "TPP-dependent trihydroxycyclohexane-1,2-dione (THcHDO) dehydratase, myo-inositol metabolism (IolD)" "G" "Carbohydrate transport and metabolism"
"1827" "COG1911" "Ribosomal protein L30E (RPL30E) (PDB:1CK2)" "J" "Translation, ribosomal structure and biogenesis"
"1828" "COG4643" "Uncharacterized domain associated with phage/plasmid primase" "X" "Mobilome: prophages, transposons"
"1829" "COG0017" "Aspartyl/asparaginyl-tRNA synthetase (AsnS) (PDB:3KFU)" "J" "Translation, ribosomal structure and biogenesis"
"1830" "COG1058" "ADP-ribose pyrophosphatase domain of DNA damage- and competence-inducible protein CinA (CinA) (PDB:4CT9) (PUBMED:25313401)" "L" "Replication, recombination and repair"
"1831" "COG2963" "Transposase InsE and inactivated derivatives (InsE) (PDB:2JN6) (PUBMED:23818957)" "X" "Mobilome: prophages, transposons"
"1832" "COG4805" "Uncharacterized conserved protein, DUF885 family (PDB:3IUK)" "S" "Function unknown"
"1833" "COG5716" "Photosystem II reaction center D1, PsbA (PsbA) (PDB:1S5L)" "C" "Energy production and conversion"
"1834" "COG0182" "5-methylthioribose/5-deoxyribulose 1-phosphate isomerase (methionine salvage pathway), a paralog of eIF-2B alpha subunit (MtnA) (PDB:1T5O) (PUBMED:31950558)" "E" "Amino acid transport and metabolism"
"1835" "COG4104" "Zn-binding Pro-Ala-Ala-Arg (PAAR) domain, involved in Type VI secretion (PAAR) (PDB:4JIV)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1836" "COG4379" "Mu-like prophage tail protein gpP (PDB:3D37)" "X" "Mobilome: prophages, transposons"
"1837" "COG0822" "Fe-S cluster assembly scaffold protein IscU, NifU family (IscU) (PDB:1Q48)" "O" "Posttranslational modification, protein turnover, chaperones"
"1838" "COG1029" "Formylmethanofuran dehydrogenase subunit B (FwdB) (PDB:5T5I)" "C" "Energy production and conversion"
"1839" "COG4091" "Predicted homoserine dehydrogenase, contains C-terminal SAF domain (PDB:3UPL)" "E" "Amino acid transport and metabolism"
"1840" "COG1176" "ABC-type spermidine/putrescine transport system, permease component I (PotB)" "E" "Amino acid transport and metabolism"
"1841" "COG5301" "Phage-related tail fiber protein (PDB:6CL6)" "X" "Mobilome: prophages, transposons"
"1842" "COG0114" "Fumarate hydratase class II (FumC) (PDB:1KQ7)" "C" "Energy production and conversion"
"1843" "COG4424" "LPS sulfotransferase NodH (LpsS) (PDB:1TEX)" "M" "Cell wall/membrane/envelope biogenesis"
"1844" "COG0039" "Malate/lactate dehydrogenase (Mdh) (PDB:4WLO)" "C" "Energy production and conversion"
"1845" "COG0166" "Glucose-6-phosphate isomerase (Pgi) (PDB:1B0Z)" "G" "Carbohydrate transport and metabolism"
"1846" "COG0400" "Predicted esterase (YpfH)" "R" "General function prediction only"
"1847" "COG0341" "Preprotein translocase subunit SecF (SecF) (PDB:2FYH) (PUBMED:28830929)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1848" "COG3737" "Uncharacterized protein, contains Mth938-like domain" "S" "Function unknown"
"1849" "COG0069" "Glutamate synthase domain 2 (GltB2) (PDB:1EA0)" "E" "Amino acid transport and metabolism"
"1850" "COG0551" "DNA topoisomerase I, ssDNA-binding Zn-finger and Zn-ribbon domains (YrdD) (PDB:1YUA)" "L" "Replication, recombination and repair"
"1851" "COG4339" "Predicted metal-dependent phosphohydrolase, HD superfamily" "R" "General function prediction only"
"1852" "COG2819" "Predicted hydrolase of the alpha/beta superfamily (YbbA) (PDB:3GFF)" "R" "General function prediction only"
"1853" "COG0307" "Riboflavin synthase alpha chain (RibC) (PDB:1I8D)" "H" "Coenzyme transport and metabolism"
"1854" "COG1657" "Terpene cyclase SqhC (SqhC) (PDB:1GSZ) (PUBMED:21627333)" "I" "Lipid transport and metabolism"
"1855" "COG3528" "Uncharacterized conserved protein, DUF2219 family (PDB:3FID)" "S" "Function unknown"
"1856" "COG2146" "Ferredoxin subunit of nitrite reductase or a ring-hydroxylating dioxygenase (NirD) (PDB:1FQT) (PUBMED:23844911)" "P" "Inorganic ion transport and metabolism"
"1857" "COG4636" "Endonuclease, Uma2 family (restriction endonuclease fold) (Uma2) (PDB:1WDJ) (PUBMED:17873039)" "R" "General function prediction only"
"1858" "COG2983" "Uncharacterized cysteine cluster protein YcgN, CxxCxxCC family (YcgN)" "R" "General function prediction only"
"1859" "COG1334" "Uncharacterized conserved protein, FlaG/YvyC family (FlaG) (PDB:2HC5)" "R" "General function prediction only"
"1860" "COG2936" "Predicted acyl esterase (PDB:1JU3)" "R" "General function prediction only"
"1861" "COG5736" "Photosystem II reaction center 11 kD protein, Psb27 (Psb27) (PDB:2Y6X) (PUBMED:17114356;17432833;22193820)" "C" "Energy production and conversion"
"1862" "COG5730" "Photosystem II reaction center protein P, PsbP (PsbP) (PDB:2XB3) (PUBMED:20698571)" "C" "Energy production and conversion"
"1863" "COG4127" "Predicted restriction endonuclease, Mrr-cat superfamily" "R" "General function prediction only"
"1864" "COG1300" "Stage II sporulation protein SpoIIM, component of the engulfment complex (SpoIIM)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1865" "COG1321" "Mn-dependent transcriptional regulator MntR, DtxR family (MntR) (PDB:1B1B)" "K" "Transcription"
"1866" "COG1243" "tRNA U34 5-carboxymethylaminomethylation enzyme Elp3 (RNA elongator complex protein 3), contains radical SAM and acetyltransferase domains (ELP3) (PDB:6IA8) (PUBMED:25151136;27455459)" "J" "Translation, ribosomal structure and biogenesis"
"1867" "COG3549" "Plasmid maintenance system killer protein (HigB)" "V" "Defense mechanisms"
"1868" "COG3093" "Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain (VapI) (PDB:4MCT)" "V" "Defense mechanisms"
"1869" "COG1338" "Flagellar biosynthesis protein FliP (FliP) (PDB:5H72)" "N" "Cell motility"
"1870" "COG1886" "Flagellar motor switch/type III secretory pathway protein FliN (FliN) (PDB:1O9Y)" "N" "Cell motility"
"1871" "COG1317" "Flagellar biosynthesis/type III secretory pathway protein FliH (FliH) (PDB:5B0O)" "N" "Cell motility"
"1872" "COG2832" "Uncharacterized membrane protein YbaN, DUF454 family (YbaN)" "S" "Function unknown"
"1873" "COG4961" "Flp pilus assembly protein TadG, includes N-terminal TadE domain (TadG) (PUBMED:12010986)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1874" "COG2377" "1,6-Anhydro-N-acetylmuramate kinase (AnmK) (PDB:3CQY) (PUBMED:15901686)" "M" "Cell wall/membrane/envelope biogenesis"
"1875" "COG5266" "Uncharacterized protein, contains GH25 family domain" "R" "General function prediction only"
"1876" "COG1781" "Aspartate carbamoyltransferase, regulatory subunit (PyrI) (PDB:1NBE)" "F" "Nucleotide transport and metabolism"
"1877" "COG4576" "Carboxysome shell and ethanolamine utilization microcompartment protein CcmK/EutM (CcmL) (PDB:2HD3)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1878" "COG0103" "Ribosomal protein S9 (RpsI) (PDB:4V4H)" "J" "Translation, ribosomal structure and biogenesis"
"1879" "COG1639" "HD-like signal output (HDOD) domain, no enzymatic activity (HDOD) (PDB:1VQR)" "T" "Signal transduction mechanisms"
"1880" "COG1462" "Curli biogenesis system outer membrane secretion channel CsgG (CsgG) (PDB:3X2R) (PUBMED:24417346)" "M" "Cell wall/membrane/envelope biogenesis"
"1881" "COG1875" "Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains (YlaK) (PUBMED:17114934)" "R" "General function prediction only"
"1882" "COG0703" "Shikimate kinase (AroK) (PDB:1E6C)" "E" "Amino acid transport and metabolism"
"1883" "COG3211" "Secreted phosphatase, PhoX family (PhoX) (PDB:3ZWU)" "R" "General function prediction only"
"1884" "COG0143" "Methionyl-tRNA synthetase (MetG) (PDB:1A8H)" "J" "Translation, ribosomal structure and biogenesis"
"1885" "COG1586" "S-adenosylmethionine decarboxylase (SpeD) (PDB:1TLU)" "E" "Amino acid transport and metabolism"
"1886" "COG0421" "Spermidine synthase (polyamine aminopropyltransferase) (SpeE) (PDB:6BQ2)" "E" "Amino acid transport and metabolism"
"1887" "COG2610" "H+/gluconate symporter GntT or related permease, GntP/DsdX family (GntT)" "G" "Carbohydrate transport and metabolism"
"1888" "COG1716" "Forkhead associated (FHA) domain, binds pSer, pThr, pTyr (FHA) (PDB:2FEZ)" "T" "Signal transduction mechanisms"
"1889" "COG1297" "Predicted oligopeptide transporter, OPT family (OPT)" "R" "General function prediction only"
"1890" "COG3852" "Signal transduction histidine kinase NtrB, nitrogen specific (NtrB) (PUBMED:23893111)" "T" "Signal transduction mechanisms"
"1891" "COG3150" "Predicted esterase YcpF, UPF0227 family (YcfP) (PDB:4FLE)" "R" "General function prediction only"
"1892" "COG2256" "Replication-associated recombination protein RarA (DNA-dependent ATPase) (RarA) (PDB:3PVS)" "L" "Replication, recombination and repair"
"1893" "COG0369" "Flavoprotein (flavin reductase) subunit CysJ of sulfite and N-hydroxylaminopurine reductases (CysJ) (PDB:1YKG) (PUBMED:20118259)" "F" "Nucleotide transport and metabolism"
"1894" "COG0125" "Thymidylate kinase (Tmk) (PDB:3LV8)" "F" "Nucleotide transport and metabolism"
"1895" "COG2721" "Altronate dehydratase (UxaA) (PDB:6U7L)" "G" "Carbohydrate transport and metabolism"
"1896" "COG3591" "V8-like Glu-specific endopeptidase (eMpr)" "O" "Posttranslational modification, protein turnover, chaperones"
"1897" "COG1142" "Fe-S-cluster-containing hydrogenase component 2 (HycB)" "C" "Energy production and conversion"
"1898" "COG0775" "Nucleoside phosphorylase/nucleosidase, includes 5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase MtnN and futalosine hydrolase MqnB (MtnN) (PDB:1T8R) (PUBMED:18801996)" "F" "Nucleotide transport and metabolism"
"1899" "COG0105" "Nucleoside diphosphate kinase (Ndk) (PDB:1B4S)" "F" "Nucleotide transport and metabolism"
"1900" "COG3204" "Uncharacterized Ca-binding beta-propeller protein YjiK (YjiK) (PDB:3QQZ)" "R" "General function prediction only"
"1901" "COG3072" "Adenylate cyclase, class I (CyaA)" "T" "Signal transduction mechanisms"
"1902" "COG3153" "Predicted N-acetyltransferase YhbS (yhbS) (PDB:4ZBG)" "R" "General function prediction only"
"1903" "COG5783" "Chloroplast senescence-associated protein CSAP, DUF1997 (PF09366) domain (CSAP) (PUBMED:31773253)" "C" "Energy production and conversion"
"1904" "COG2201" "Chemotaxis response regulator CheB, contains REC and protein-glutamate methylesterase domains (CheB) (PDB:1A2O)" "T" "Signal transduction mechanisms"
"1905" "COG1733" "DNA-binding transcriptional regulator, HxlR family (HxlR) (PDB:1YYV)" "K" "Transcription"
"1906" "COG4287" "PhoPQ-activated pathogenicity-related protein (PqaA)" "R" "General function prediction only"
"1907" "COG1169" "Isochorismate synthase EntC (MenF) (PDB:5JXZ)" "H" "Coenzyme transport and metabolism"
"1908" "COG0585" "tRNA(Glu) U13 pseudouridine synthase TruD (TruD) (PDB:1SB7)" "J" "Translation, ribosomal structure and biogenesis"
"1909" "COG4126" "Asp/Glu/hydantoin racemase (Dcg1)" "E" "Amino acid transport and metabolism"
"1910" "COG2246" "Putative flippase GtrA (transmembrane translocase of bactoprenol-linked glucose) (GtrA) (PDB:5MLZ) (PUBMED:24710389)" "I" "Lipid transport and metabolism"
"1911" "COG1120" "ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)" "P" "Inorganic ion transport and metabolism"
"1912" "COG1683" "Uncharacterized conserved protein YbbK, DUF523 family (YbbK)" "S" "Function unknown"
"1913" "COG3463" "Uncharacterized membrane protein" "S" "Function unknown"
"1914" "COG2043" "Uncharacterized conserved protein, DUF169 family" "S" "Function unknown"
"1915" "COG5379" "S-adenosylmethionine:diacylglycerol 3-amino-3-carboxypropyl transferase (BtaA) (PUBMED:11331765)" "I" "Lipid transport and metabolism"
"1916" "COG0011" "Thiamin-binding stress-response protein YqgV, UPF0045 family (YqgV) (PDB:1LXJ) (PUBMED:20471400)" "H" "Coenzyme transport and metabolism"
"1917" "COG1386" "Chromosome segregation and condensation protein ScpB (ScpB) (PDB:1T6S)" "K" "Transcription"
"1918" "COG4172" "ABC-type microcin C transport system, duplicated ATPase component YejF (YejF) (PUBMED:17873039)" "Q" "Secondary metabolites biosynthesis, transport and catabolism"
"1919" "COG3314" "Spore dipicolinate transporter SpoVV/YjiH/YlbJ, contains nucleoside recognition GATE domain (SpoVV) (PUBMED:28945739)" "D" "Cell cycle control, cell division, chromosome partitioning"
"1920" "COG2730" "Aryl-phospho-beta-D-glucosidase BglC, GH1 family (BglC)" "G" "Carbohydrate transport and metabolism"
"1921" "COG4618" "ABC-type protease/lipase transport system, ATPase and permease components (ArpD) (PDB:5L22)" "U" "Intracellular trafficking, secretion, and vesicular transport"
"1922" "COG0678" "Peroxiredoxin (AHP1) (PDB:1H4O)" "O" "Posttranslational modification, protein turnover, chaperones"
"1923" "COG3381" "Cytoplasmic chaperone TorD involved in molybdoenzyme TorA maturation (TorD) (PDB:1N1C)" "O" "Posttranslational modification, protein turnover, chaperones"
"1924" "COG2978" "p-Aminobenzoyl-glutamate transporter AbgT (AbgT) (PDB:4R0C) (PUBMED:17307853)" "H" "Coenzyme transport and metabolism"
"1925" "COG0675" "Transposase (InsQ)" "X" "Mobilome: prophages, transposons"
